------------------------------|---------|----------|---------|---------|----------------------------------------------------------------------------
File                          | % Stmts | % Branch | % Funcs | % Lines | Uncovered Line #s                                                          
------------------------------|---------|----------|---------|---------|----------------------------------------------------------------------------
All files                     |   10.03 |    11.04 |   11.45 |    9.21 |                                                                            
 src                          |       0 |        0 |       0 |       0 |                                                                            
  test-utils.tsx              |       0 |        0 |       0 |       0 | 1-74                                                                       
 src/app                      |       0 |        0 |       0 |       0 |                                                                            
  layout.tsx                  |       0 |        0 |       0 |       0 | 2-60                                                                       
  not-found.tsx               |       0 |      100 |       0 |       0 | 1                                                                          
  page.tsx                    |       0 |        0 |       0 |       0 | 3-71                                                                       
  robots.ts                   |       0 |        0 |       0 |       0 | 3-18                                                                       
  sitemap.ts                  |       0 |        0 |       0 |       0 | 3-20                                                                       
 src/app/account              |       0 |        0 |       0 |       0 |                                                                            
  page.tsx                    |       0 |        0 |       0 |       0 | 3-375                                                                      
 src/app/account/settings     |       0 |        0 |       0 |       0 |                                                                            
  page.tsx                    |       0 |        0 |       0 |       0 | 3-554                                                                      
 src/app/admin                |       0 |      100 |       0 |       0 |                                                                            
  page.tsx                    |       0 |      100 |       0 |       0 | 1-3                                                                        
 src/app/adminanalysis        |       0 |      100 |       0 |       0 |                                                                            
  page.tsx                    |       0 |      100 |       0 |       0 | 2                                                                          
 src/app/admindashboard       |       0 |      100 |       0 |       0 |                                                                            
  page.tsx                    |       0 |      100 |       0 |       0 | 1-3                                                                        
 src/app/auth/google/callback |       0 |        0 |       0 |       0 |                                                                            
  page.tsx                    |       0 |        0 |       0 |       0 | 3-156                                                                      
 src/app/forgot-password      |       0 |        0 |       0 |       0 |                                                                            
  page.tsx                    |       0 |        0 |       0 |       0 | 3-104                                                                      
 src/app/login                |       0 |        0 |       0 |       0 |                                                                            
  page.tsx                    |       0 |        0 |       0 |       0 | 3-190                                                                      
 src/app/register             |       0 |        0 |       0 |       0 |                                                                            
  page.tsx                    |       0 |        0 |       0 |       0 | 3-226                                                                      
 src/app/reset-password       |       0 |        0 |       0 |       0 |                                                                            
  page.tsx                    |       0 |        0 |       0 |       0 | 3-400                                                                      
 src/app/setup/step1          |       0 |        0 |       0 |       0 |                                                                            
  page.tsx                    |       0 |        0 |       0 |       0 | 3-231                                                                      
 src/app/setup/step2          |       0 |        0 |       0 |       0 |                                                                            
  page.tsx                    |       0 |        0 |       0 |       0 | 3-181                                                                      
 src/app/setup/step3          |       0 |        0 |       0 |       0 |                                                                            
  page.tsx                    |       0 |        0 |       0 |       0 | 3-213                                                                      
 src/app/setup/step4          |       0 |        0 |       0 |       0 |                                                                            
  page.tsx                    |       0 |        0 |       0 |       0 | 3-160                                                                      
